,championship,season,round,event,circuit,f0_,f1_,elapsed_hour
127,IMSA,2016,1,Belle Isle Street Circuit,Belle Isle Street Circuit,1359,101.224,2
128,IMSA,2016,2,Watkins Glen International,Watkins Glen International,6744,362.042,6
129,IMSA,2016,3,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,4245,162.255,3
130,IMSA,2016,4,Lime Rock,Lime Rock Park,4523,161.559,3
131,IMSA,2016,5,Road America,Road America,2733,162.059,3
132,IMSA,2016,6,VIRginia International Raceway,VIRginia International Raceway,1777,161.745,3
133,IMSA,2016,7,Circuit of the Americas,CIRCUIT OF THE AMERICAS,2720,164.089,3
134,IMSA,2017,2,Daytona International Speedway,Daytona International Speedway,29494,1442.768,24
135,IMSA,2017,4,Sebring International Raceway,Sebring International Raceway,13147,723.253,12
136,IMSA,2017,5,Long Beach Street Circuit,Long Beach Street Circuit,1956,102.041,2
137,IMSA,2017,6,Circuit of the Americas,CIRCUIT OF THE AMERICAS,2406,162.229,3
138,IMSA,2017,7,Belle Isle Street Circuit,Belle Isle Street Circuit,1535,102.328,2
139,IMSA,2017,9,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,4051,163.919,3
140,IMSA,2017,10,Lime Rock Park,Lime Rock Park,4057,161.188,3
141,IMSA,2017,11,Road America,Road America,2263,162.728,3
142,IMSA,2017,12,VIRginia International Raceway,VIRginia International Raceway,2008,163.089,3
143,IMSA,2017,13,Mazda Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3533,162.566,3
144,IMSA,2018,2,Daytona International Speedway,Daytona International Speedway,35687,1443.322,24
145,IMSA,2018,3,Sebring International Raceway,Sebring International Raceway,12907,722.628,12
146,IMSA,2018,4,Long Beach Street Circuit,Long Beach Street Circuit,1323,102.326,2
147,IMSA,2018,5,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3999,162.323,3
148,IMSA,2018,6,Belle Isle Street Circuit,Belle Isle Street Circuit,1568,101.788,2
149,IMSA,2018,7,Watkins Glen International,Watkins Glen International,7108,362.142,6
150,IMSA,2018,8,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,3246,161.725,3
151,IMSA,2018,9,Lime Rock Park,Lime Rock Park,2747,161.153,3
152,IMSA,2018,10,Road America,Road America,2078,162.39,3
153,IMSA,2018,11,VIRginia International Raceway,VIRginia International Raceway,1469,162.698,3
154,IMSA,2018,12,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,2811,162.698,3
155,IMSA,2018,13,Road Atlanta,Road Atlanta,14153,601.849,10
156,IMSA,2019,2,Daytona International Speedway,Daytona International Speedway,24472,1321.734,22
157,IMSA,2019,3,Sebring International Raceway,Sebring International Raceway,12022,721.883,12
158,IMSA,2019,4,Long Beach Street Circuit,Long Beach Street Circuit,1250,102.347,2
159,IMSA,2019,5,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3899,162.472,3
160,IMSA,2019,6,Belle Isle Street Course,Belle Isle Street Circuit,1194,101.528,2
161,IMSA,2019,7,Watkins Glen International,Watkins Glen International,6301,361.986,6
162,IMSA,2019,8,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,3807,169.33,3
163,IMSA,2019,9,Lime Rock Park,Lime Rock Park,3731,161.212,3
164,IMSA,2019,10,Road America,Road America,2658,163.858,3
165,IMSA,2019,11,VIRginia International Raceway,VIRginia International Raceway,1781,163.13,3
166,IMSA,2019,12,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3509,162.393,3
167,IMSA,2019,13,Road Atlanta,Road Atlanta,13288,602.066,10
168,IMSA,2020,2,Rolex 24 at Daytona,Daytona International Speedway,27545,1442.216,24
169,IMSA,2020,3,Daytona International Speedway,Daytona International Speedway,2271,161.993,3
170,IMSA,2020,5,Road America,Road America,1760,167.501,3
171,IMSA,2020,6,VIRginia International Raceway,VIRginia International Raceway,1555,161.952,3
172,IMSA,2020,7,Road Atlanta,Road Atlanta,6678,361.523,6
173,IMSA,2020,8,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,2529,161.282,3
174,IMSA,2020,9,Charlotte Motor Speedway,Charlotte Motor Speedway,894,100.771,2
175,IMSA,2020,10,Motul Petit Le Mans,Road Atlanta,12809,602.454,10
176,IMSA,2020,11,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3062,162.314,3
177,IMSA,2020,12,Sebring International Raceway,Sebring International Raceway,9732,722.529,12
178,IMSA,2021,2,Daytona International Speedway,Daytona International Speedway,33029,1441.837,24
179,IMSA,2021,3,Sebring International Raceway,Sebring International Raceway,11075,722.862,12
180,IMSA,2021,4,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,2795,161.671,3
181,IMSA,2021,5,6H - Watkins Glen International,Watkins Glen International,6351,361.229,6
182,IMSA,2021,6,WeatherTech 240 - WGI,Watkins Glen International,1693,163.109,3
183,IMSA,2021,7,Lime Rock Park,Lime Rock Park,1563,89.41,1
184,IMSA,2021,8,Road America,Road America,2365,162.56,3
185,IMSA,2021,9,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,2668,162.165,3
186,IMSA,2021,10,Long Beach Street Circuit,Long Beach Street Circuit,1861,102.013,2
187,IMSA,2021,11,VIRginia International Raceway,VIRginia International Raceway,1473,162.274,3
188,IMSA,2021,12,Road Atlanta,Road Atlanta,13672,601.747,10
189,IMSA,2022,1,ROAR Before the 24,Daytona International Speedway,3185,102.553,2
190,IMSA,2022,2,Daytona International Speedway,Daytona International Speedway,37597,1442.046,24
191,IMSA,2022,3,Sebring International Raceway,Sebring International Raceway,15518,723.761,12
192,IMSA,2022,4,Long Beach Street Circuit,Long Beach Street Circuit,1685,101.772,2
193,IMSA,2022,5,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3258,162.484,3
194,IMSA,2022,6,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3524,161.728,3
195,IMSA,2022,7,Belle Isle Street Course,Belle Isle Street Circuit,1050,102.111,2
196,IMSA,2022,8,Watkins Glen International,Watkins Glen International,6698,372.145,6
197,IMSA,2022,9,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,2604,161.089,3
198,IMSA,2022,10,Lime Rock Park,Lime Rock Park,2343,161.39,3
199,IMSA,2022,11,Road America,Road America,2258,161.438,3
200,IMSA,2022,12,VIRginia International Raceway,VIRginia International Raceway,1462,162.276,3
201,IMSA,2022,13,Road Atlanta,Road Atlanta,15303,600.87,10
202,IMSA,2023,2,Daytona International Speedway,Daytona International Speedway,39736,1443.028,24
203,IMSA,2023,4,Sebring International Raceway,Sebring International Raceway,15196,722.52,12
204,IMSA,2023,5,Long Beach Street Circuit,Long Beach Street Circuit,1844,103.215,2
